avgKills,avgDeaths,avgAssists,avgChampLevel,avgChampExperience,avgDoubleKills,avgTripleKills,avgQuadraKills,avgPentaKills,avgConsumablesPurchased,avgDamageDealtToBuildings,avgDamageDealtToObjectives,avgDamageSelfMitigated,avgDetectorWardsPlaced,avgTimePlayed,avgGoldEarned,avgGoldSpent,avgInhibitorKills,avgItemsPurchased,avgLargestKillingSpree,avgKillingSprees,avgLongestTimeSpentLiving,avgMagicDamageDealt,avgMagicDamageDealtToChampions,avgMagicDamageTaken,avgPhysicalDamageDealt,avgPhysicalDamageDealtToChampions,avgPhysicalDamageTaken,avgTotalDamageDealt,avgTotalDamageDealtToChampions,avgTotalDamageShieldedOnTeammates,avgTotalDamageTaken,avgTrueDamageDealt,avgTrueDamageDealtToChampions,avgTrueDamageTaken,avgTotalHeal,avgTotalHealsOnTeammates,avgTotalMinionsKilled,avgTotalTimeCCDealt,avgTotalTimeSpentDead,avgTurretKills,avgTurretsLost,avgNeutralMinionsKilled,avgObjectivesStolen,avgObjectivesStolenAssists,avgVisionScore,avgVisionWardsBoughtInGame,avgWardsKilled,avgWardsPlaced,avgAbilityUses,avgAcesBefore15Minutes,avgAlliedJungleMonsterKills,avgBaronTakedowns,avgBlastConeOppositeOpponentCount,avgBountyGold,avgBuffsStolen,avgDamagePerMinute,avgDeathsByEnemyChamps,avgDragonTakedowns,avgEffectiveHealAndShielding,avgEnemyChampionImmobilizations,avgEnemyJungleMonsterKills,avgEpicMonsterSteals,avgGoldPerMinute,avgJungleCsBefore10Minutes,avgKda,avgKillParticipation,avgKillsNearEnemyTurret,avgKillsUnderOwnTurret,avgKillsWithHelpFromEpicMonster,avgMaxKillDeficit,avgMultikills,avgOutnumberedKills,avgRiftHeraldTakedowns,avgScuttleCrabKills,avgSkillshotsDodged,avgSkillshotsHit,avgSoloKills,avgTakedowns,avgTakedownsAfterGainingLevelAdvantage,avgTakedownsBeforeJungleMinionSpawn,avgTurretPlatesTaken,avgTurretTakedowns,avgTurretsTakenWithRiftHerald,avgVisionScorePerMinute,avgWardTakedownsBefore20M,avgWardsGuarded,avgSoloTurretsLategame,avgDodgeSkillShotsSmallWindow,avgTookLargeDamageSurvived,avgPickKillWithAlly,avgKnockEnemyIntoTeamAndKill,avgVisionScoreAdvantageLaneOpponent,avgMaxLevelLeadLaneOpponent,avgLaningPhaseGoldExpAdvantage,avgEarlyLaningPhaseGoldExpAdvantage,avgEarliestBaron,avgKillsOnLanersEarlyJungleAsJungler,avgJunglerKillsEarlyJungle,avgTakedownsFirst25Minutes,baron_first,baron_kills,champion_first,champion_kills,dragon_first,dragon_kills,inhibitor_first,inhibitor_kills,riftHerald_first,riftHerald_kills,tower_first,tower_kills,gameDuration,win
4.2,2.2,5.4,12.8,10658.2,0.6,0.0,0.0,0.0,3.0,2271.0,5069.4,9156.4,1.0,1439.0,9540.8,7969.0,0.0,16.6,3.2,1.0,743.2,19142.4,3647.2,5162.0,79487.8,8626.2,8707.4,104643.0,13000.0,404.4,14870.8,6012.2,725.8,1000.4,4985.0,762.4,108.6,177.0,58.8,0.8,2.0,31.0,0.0,0.0,20.2,1.0,2.2,9.2,220.8,0.0,18.5,0.0,0.0,0.0,0.4,541.6658,2.2,0.6,1167.0053,9.6,5.98,0.0,397.5366,11.73,6.4,0.4571,2.0,0.2,0.0,0.0,0.6,1.0,0.0,1.0,18.0,24.8,1.0,9.6,0.0,0.0,0.8,1.0,0.0,0.8637,1.6,0.2,,0.2,0.0,7.4,0.4,0.2161,1.4,0.0,0.2,,,,,False,0,True,21,False,1,False,0,False,0,True,4,1439,True
7.2,8.2,11.6,16.8,16904.0,1.0,0.6,0.0,0.0,5.0,2613.0,16480.0,27286.4,2.8,2114.0,14020.8,12690.0,0.2,23.2,2.6,1.8,424.4,91833.2,16356.6,13359.0,41465.6,6855.6,17040.2,146175.8,27253.8,137.6,33936.8,12874.8,4040.6,3536.8,8560.6,352.2,120.4,152.2,259.6,1.0,10.0,36.2,0.2,0.0,39.4,3.2,4.6,17.0,301.2,0.0,22.32,1.4,0.0,575.0,0.2,773.4237,8.2,1.8,489.9232,28.0,4.0,0.2,397.8909,10.4,2.3361,0.5222,0.2,1.0,0.0,0.0,1.6,2.0,0.4,0.8,24.8,28.0,1.4,18.8,0.0,0.0,2.2,3.0,5.0,1.13,2.2,0.0,,0.4,0.0,13.0,3.4,0.1804,1.8,0.0,0.0,1687.9387,,,,True,2,False,36,False,3,False,1,True,1,True,5,2114,False
4.6,2.4,4.8,13.2,11000.0,0.2,0.0,0.0,0.0,3.6,4909.8,15365.0,8486.8,1.6,1342.0,9641.4,8092.0,0.4,15.6,3.4,1.4,502.0,41142.2,5496.2,2745.2,56075.2,4555.0,8734.0,102093.0,10687.2,0.0,12500.8,4874.2,635.6,1020.2,3073.8,119.6,101.8,97.0,70.2,2.0,0.0,34.4,0.0,0.0,19.4,1.8,1.4,8.6,170.0,0.0,19.4,0.8,0.0,0.0,0.2,477.697,2.4,0.8,119.76,6.2,4.6,0.0,430.9502,12.0,4.6,0.4087,2.2,0.0,0.0,0.0,0.2,0.2,0.2,0.8,10.2,13.4,1.2,9.4,0.2,0.0,1.8,4.8,5.0,0.8863,1.6,0.0,,0.0,0.0,6.2,0.6,0.2001,2.6,0.4,0.4,1213.7978,,,,True,1,True,23,True,2,True,2,False,1,True,10,1342,True
7.6,2.4,8.4,14.0,12470.4,0.8,0.0,0.0,0.0,3.8,3797.4,13149.4,10690.4,1.4,1493.0,11067.2,9831.6,0.4,19.0,5.6,1.2,732.8,42964.6,9322.0,4195.0,50084.4,7185.4,10562.4,104367.2,18300.8,0.0,16195.4,11317.2,1792.6,1437.2,3709.4,30.0,95.4,128.6,62.4,1.8,1.0,32.6,0.0,0.0,21.0,2.0,2.8,7.4,228.4,0.0,19.3,0.4,0.0,0.0,0.4,735.1955,2.4,0.4,30.0,13.2,3.18,0.0,444.6024,10.4,9.6381,0.4211,2.4,0.0,0.4,2.0,0.8,1.6,0.2,1.2,8.8,23.4,1.6,16.0,0.0,0.0,0.6,2.6,5.0,0.8653,1.6,0.0,,0.2,0.0,9.8,1.2,0.8127,2.6,0.2,0.0,1419.3377,,,,True,1,False,38,False,2,True,2,True,1,True,9,1493,True
3.4,7.4,4.6,13.6,11586.0,0.0,0.0,0.0,0.0,2.2,2254.2,9234.2,17807.8,0.8,1874.0,10827.6,10545.0,0.0,20.8,1.2,0.2,725.4,42679.0,8177.2,9338.8,74523.4,7588.6,14206.2,124338.2,17401.4,167.0,24688.2,7135.2,1634.8,1142.6,7481.4,2950.0,114.4,249.0,193.2,0.8,6.0,36.6,0.0,0.0,19.6,1.2,1.2,10.0,226.6,0.0,25.58,0.0,0.0,330.0,0.0,557.1018,7.4,0.4,3117.389,23.6,1.28,0.0,346.65,13.15,1.5963,0.4706,0.8,0.0,0.8,0.0,0.0,1.0,0.2,1.2,27.0,31.6,0.6,8.0,0.0,0.0,1.6,1.2,0.0,0.6495,0.8,0.4,0.2,1.2,0.0,6.6,1.4,-0.1356,1.0,0.0,0.0,,,,,False,0,False,17,True,1,False,0,True,1,True,4,1874,False
7.2,7.8,8.4,14.8,13932.6,0.8,0.4,0.2,0.0,5.6,3042.6,8931.8,18751.4,3.6,1800.0,12135.2,11642.0,0.0,22.2,3.0,1.6,519.2,32263.4,5269.6,15796.8,84140.2,11699.4,8659.4,131925.8,19371.8,0.0,25507.2,15521.4,2402.2,1050.0,4204.8,109.0,127.6,335.8,247.0,1.0,9.0,31.6,0.0,0.0,31.6,4.4,4.2,14.6,180.2,0.0,22.78,0.0,0.0,390.0,0.0,645.5387,7.8,0.8,109.0695,25.8,1.1,0.0,404.393,12.8,2.2236,0.4333,1.4,0.2,0.6,0.0,1.4,1.8,0.4,0.8,10.0,17.0,2.4,15.6,0.6,0.0,1.0,1.8,0.0,1.0673,2.8,0.8,,0.0,0.0,11.0,1.6,-0.0274,1.6,0.0,0.0,,,,,False,0,True,36,True,1,False,0,True,1,False,5,1800,False
7.0,5.0,9.6,13.4,11184.6,0.2,0.0,0.0,0.0,2.8,6250.4,14830.0,10291.2,1.0,1369.0,10960.4,9645.0,0.6,19.2,2.4,2.2,406.2,17805.6,3989.2,6722.4,72704.0,10037.2,10444.6,99976.4,16496.0,141.0,17669.8,9465.4,2468.8,502.0,6347.8,789.6,90.4,157.2,130.2,2.2,1.0,29.4,0.0,0.0,17.4,1.0,2.0,8.2,197.2,0.0,20.4,0.8,0.0,120.0,0.0,722.5276,5.0,1.2,931.0817,25.0,0.8,0.0,480.0755,12.0,3.37,0.4743,2.4,0.2,0.0,1.0,0.2,2.0,0.4,0.8,26.4,13.8,1.4,16.6,0.0,0.0,3.2,4.6,5.0,0.7886,1.8,0.2,,1.0,0.0,10.0,3.0,-0.0062,1.8,0.2,0.2,1253.3676,,,,True,1,False,35,True,2,True,3,True,1,True,11,1369,True
8.2,6.2,11.2,14.4,12680.4,1.2,0.2,0.0,0.0,4.0,3173.0,15396.8,19830.6,1.0,1673.0,11810.4,10665.0,0.4,22.0,3.2,2.0,538.2,45292.0,11517.0,6003.4,59938.2,10650.2,15856.0,121003.8,25580.8,830.4,22738.4,15772.6,3412.2,878.0,4428.4,73.0,99.8,163.4,200.2,1.2,1.0,36.0,0.0,0.0,22.0,1.6,1.4,9.6,241.8,0.0,22.0,0.0,0.0,90.0,0.4,917.1344,6.0,1.2,903.4491,13.4,3.2,0.0,423.4451,12.0,3.1533,0.485,1.8,0.2,0.2,0.0,1.4,1.6,0.6,1.2,9.0,31.4,1.6,19.4,0.6,0.0,3.4,1.6,5.0,0.811,1.2,0.4,,0.0,0.0,13.2,1.2,0.1344,1.6,0.2,0.2,,,,,False,0,True,41,False,3,True,2,True,2,True,8,1673,True
6.2,5.8,7.4,16.6,17410.4,0.4,0.2,0.0,0.0,5.8,4240.8,23109.2,30328.0,2.2,2042.0,13952.0,12490.0,0.6,25.6,2.0,1.4,704.0,86953.8,10796.2,15526.2,73896.6,11186.0,13632.6,173439.0,23764.0,671.6,30762.4,12587.8,1781.0,1602.0,7430.4,221.6,148.4,809.8,213.2,2.2,2.0,52.8,0.0,0.0,36.4,2.8,5.0,12.2,267.8,0.0,29.2,1.6,0.0,60.0,0.8,698.19,5.8,2.2,893.3121,27.0,10.24,0.0,409.9165,12.8,2.6514,0.4387,1.4,0.4,0.2,6.0,0.6,1.8,0.6,1.0,51.0,37.0,1.6,13.6,0.2,0.0,1.4,4.0,5.0,1.0907,3.2,0.2,,5.8,0.0,10.2,2.4,0.5366,2.2,0.2,0.2,1440.3566,,,,True,2,True,31,True,4,True,3,True,2,True,11,2042,True
6.8,7.4,12.6,14.6,12977.2,0.6,0.0,0.0,0.0,5.6,1831.0,5886.2,26011.2,3.4,1721.0,10634.6,10235.0,0.0,24.4,2.4,2.0,735.4,43429.8,11693.4,15008.0,52369.2,8800.8,11444.8,101211.4,20976.8,2360.0,27757.6,5411.8,482.0,1304.0,3293.2,324.2,108.2,334.8,218.0,0.6,11.0,20.6,0.0,0.0,20.2,4.2,1.6,11.6,230.0,0.0,13.8,0.0,0.0,225.0,0.0,731.2513,7.4,0.0,2684.4653,28.6,0.8,0.0,370.7369,9.6,3.4436,0.5706,1.0,0.6,0.0,0.0,0.6,0.8,0.8,0.6,46.2,42.4,1.4,19.4,0.2,0.0,2.8,1.0,0.0,0.7165,1.4,0.8,,3.6,0.2,12.4,4.8,-0.2713,1.4,0.0,0.2,,,,,False,0,False,34,False,0,False,0,True,2,False,3,1721,False
